Container_ID,Commodity,Origin,Destination,Temperature_C,Humidity_Percent,Vibration_g,Latitude,Longitude,Timestamp,Sensor_Status,Battery_Level,Transport_Mode
C1001,Avocado,Mumbai,Delhi,2.3,72,0.44,10.860528,73.69117,01-08-2026 08:00,Active,87,Rail
C1002,Avocado,Mumbai,Ahmedabad,2.4,68,0.43,20.341384,81.260544,01-08-2026 08:01,Active,85,Truck
C1003,Banana,Bengaluru,Jaipur,9.7,55,1.16,11.273016,78.973138,01-08-2026 08:02,Active,57,Rail
C1004,Avocado,Pune,Lucknow,3.2,61,0.6,15.051092,76.364594,01-08-2026 08:03,Low Battery,42,Truck
C1005,Banana,Bengaluru,Delhi,3,73,1.26,20.679655,86.218164,01-08-2026 08:04,Active,76,Truck
C1006,Mango,Hyderabad,Jaipur,12,60,1.3,25.762915,78.272083,01-08-2026 08:05,Active,69,Rail
C1007,Apple,Bengaluru,Lucknow,4.7,72,1.08,22.012727,73.178141,01-08-2026 08:06,Active,80,Truck
C1008,Mango,Hyderabad,Delhi,8,72,1.49,21.119995,81.189671,01-08-2026 08:07,Active,83,Truck
C1009,Avocado,Hyderabad,Jaipur,12.5,80,0.47,12.325148,87.55801,01-08-2026 08:08,Active,96,Rail
C1010,Banana,Hyderabad,Lucknow,13.5,84,0.3,10.862422,84.292318,01-08-2026 08:09,Active,74,Rail
C1011,Orange,Chennai,Delhi,7.2,69,1.5,10.835801,80.143011,01-08-2026 08:10,Active,88,Truck
C1012,Mango,Mumbai,Kolkata,12.3,82,0.93,15.88773,81.832159,01-08-2026 08:11,Active,69,Truck
C1013,Avocado,Pune,Jaipur,10.9,89,1.15,23.756274,77.612895,01-08-2026 08:12,Active,58,Rail
C1014,Avocado,Hyderabad,Lucknow,14.4,71,1.46,23.620225,80.376748,01-08-2026 08:13,Low Battery,46,Truck
C1015,Mango,Mumbai,Kolkata,6.9,65,0.86,23.961843,80.750836,01-08-2026 08:14,Low Battery,40,Rail
C1016,Avocado,Bengaluru,Lucknow,3.5,78,1.33,25.049143,77.073983,01-08-2026 08:15,Low Battery,43,Truck
C1017,Avocado,Pune,Lucknow,11.5,59,1.47,18.920476,74.075048,01-08-2026 08:16,Active,82,Truck
C1018,Apple,Bengaluru,Kolkata,8.9,93,0.69,12.341863,80.898385,01-08-2026 08:17,Active,86,Rail
C1019,Apple,Mumbai,Lucknow,7.7,88,0.73,13.082065,73.056427,01-08-2026 08:18,Low Battery,41,Truck
C1020,Orange,Hyderabad,Delhi,4.9,59,1.09,9.206912,73.112105,01-08-2026 08:19,Low Battery,42,Truck
C1021,Apple,Pune,Jaipur,10.7,68,0.85,22.828728,86.559321,01-08-2026 08:20,Active,76,Rail
C1022,Banana,Chennai,Delhi,4.5,61,1.02,15.2631,78.783188,01-08-2026 08:21,Active,95,Truck
C1023,Banana,Bengaluru,Kolkata,11.5,61,0.45,11.899283,79.402124,01-08-2026 08:22,Active,67,Rail
C1024,Mango,Mumbai,Delhi,13.4,59,0.72,25.657657,81.080368,01-08-2026 08:23,Low Battery,43,Truck
C1025,Mango,Pune,Delhi,4.2,86,0.77,25.725333,86.890307,01-08-2026 08:24,Low Battery,50,Rail
C1026,Apple,Mumbai,Ahmedabad,14,84,0.5,22.280126,84.053338,01-08-2026 08:25,Active,90,Truck
C1027,Mango,Chennai,Lucknow,5.9,58,0.91,19.115002,84.341597,01-08-2026 08:26,Low Battery,43,Rail
C1028,Orange,Chennai,Lucknow,14,88,0.32,27.695968,73.321839,01-08-2026 08:27,Active,51,Truck
C1029,Mango,Mumbai,Lucknow,7.2,91,0.44,20.187643,82.219795,01-08-2026 08:28,Active,66,Rail
C1030,Apple,Pune,Kolkata,4.7,75,0.43,16.11361,83.082889,01-08-2026 08:29,Active,59,Truck
C1031,Avocado,Bengaluru,Kolkata,8,91,1.49,9.501845,75.517046,01-08-2026 08:30,Active,56,Truck
C1032,Mango,Mumbai,Delhi,6.8,65,0.71,19.135968,76.991533,01-08-2026 08:31,Active,91,Rail
C1033,Avocado,Hyderabad,Kolkata,14.2,63,0.47,26.23911,84.249875,01-08-2026 08:32,Low Battery,49,Truck
C1034,Apple,Chennai,Delhi,4.6,95,1.29,18.360886,76.143501,01-08-2026 08:33,Active,98,Rail
C1035,Apple,Pune,Lucknow,2.6,76,1.18,21.060824,76.322262,01-08-2026 08:34,Active,87,Rail
C1036,Orange,Hyderabad,Lucknow,2.1,59,1.42,22.165902,74.459396,01-08-2026 08:35,Low Battery,42,Truck
C1037,Banana,Hyderabad,Jaipur,3.7,74,0.61,27.128304,88.041238,01-08-2026 08:36,Low Battery,42,Truck
C1038,Avocado,Bengaluru,Jaipur,6.6,90,1.34,16.330736,82.240915,01-08-2026 08:37,Low Battery,49,Truck
C1039,Banana,Bengaluru,Kolkata,2.3,76,1.2,16.44012,83.053468,01-08-2026 08:38,Active,87,Truck
C1040,Avocado,Hyderabad,Kolkata,7,57,1.3,12.559891,85.473679,01-08-2026 08:39,Active,69,Truck
C1041,Mango,Hyderabad,Kolkata,2.3,67,0.66,13.711363,73.145442,01-08-2026 08:40,Active,89,Rail
C1042,Orange,Chennai,Delhi,6.3,56,0.26,27.893213,74.946369,01-08-2026 08:41,Active,56,Rail
C1043,Apple,Mumbai,Jaipur,11.5,75,0.71,28.176835,73.908155,01-08-2026 08:42,Active,97,Rail
